year,doy_start,date_start,date_end,region,chlor_a_n_pixels,sst_n_pixels,chlor_a_max,sst_max,chlor_a_mean,sst_mean,chlor_a_min,sst_min,chlor_a_std,sst_std,rainfall_mm_total_mean,rainfall_mm_total_min,rainfall_mm_total_max,rainfall_mm_max_daily,rainy_days_mean,rainfall_n_cells,hab_event_documented,hab_events_last_52w,bloom,bloom_or_documented
2020,1,2020-01-01,2020-01-08,Karnataka,1173.0,1219.0,56.6879,32.295,0.9942,29.129,0.1379,27.395,2.6326,0.278,0.113,0.0,2.647,2.647,0.03,117,0,0,0,0
2020,1,2020-01-01,2020-01-08,Kerala,5169.0,5504.0,24.519,33.49,0.3028,29.1795,0.0953,28.515,0.6803,0.3781,2.866,0.0,83.328,61.797,0.32,247,0,0,0,0
2020,9,2020-01-09,2020-01-16,Karnataka,1173.0,1212.0,8.3429,31.065,0.9948,28.8843,0.1758,26.645,1.2794,0.2867,0.0,0.0,0.0,0.0,0.0,117,0,0,0,0
2020,9,2020-01-09,2020-01-16,Kerala,4943.0,5471.0,62.4712,33.265,0.3754,29.0385,0.1057,27.38,1.4004,0.3914,0.0,0.0,0.0,0.0,0.0,247,0,0,0,0
2020,17,2020-01-17,2020-01-24,Karnataka,1170.0,1221.0,44.2032,29.41,1.2696,28.9282,0.1928,27.21,2.4131,0.2659,0.0,0.0,0.0,0.0,0.0,117,0,0,0,0
2020,17,2020-01-17,2020-01-24,Kerala,5439.0,5487.0,12.585,34.4,0.3357,29.3921,0.1216,25.785,0.6307,0.3805,1.349,0.0,20.522,20.522,0.17,247,0,0,0,0
2020,25,2020-01-25,2020-02-01,Karnataka,987.0,1203.0,5.7082,29.865,1.1797,28.9963,0.1383,27.665,1.2589,0.2938,0.0,0.0,0.0,0.0,0.0,117,0,0,0,0
2020,25,2020-01-25,2020-02-01,Kerala,4497.0,5472.0,5.4695,34.23,0.3287,29.1067,0.0957,28.05,0.5228,0.3709,0.0,0.0,0.0,0.0,0.0,247,0,0,0,0
2020,33,2020-02-02,2020-02-09,Karnataka,1158.0,1203.0,63.4821,29.225,1.1734,28.7194,0.1648,27.615,2.8766,0.2785,0.0,0.0,0.0,0.0,0.0,117,0,0,0,0
2020,33,2020-02-02,2020-02-09,Kerala,5066.0,5476.0,9.3939,34.455,0.3317,29.1825,0.0962,28.325,0.631,0.3844,1.474,0.0,24.497,18.929,0.21,247,0,0,0,0
2020,41,2020-02-10,2020-02-17,Karnataka,1135.0,1194.0,6.4544,30.325,0.8859,29.029,0.1535,26.64,1.0518,0.2904,0.0,0.0,0.0,0.0,0.0,117,0,0,0,0
2020,41,2020-02-10,2020-02-17,Kerala,5350.0,5475.0,5.2955,34.16,0.2977,29.2743,0.1194,28.24,0.5081,0.3261,0.581,0.0,36.0,36.0,0.04,247,0,0,0,0
2020,49,2020-02-18,2020-02-25,Karnataka,976.0,1184.0,3.4147,31.225,0.5266,29.7963,0.1411,27.2,0.5126,0.4763,0.0,0.0,0.0,0.0,0.0,117,0,0,0,0
2020,49,2020-02-18,2020-02-25,Kerala,4871.0,5464.0,41.646,34.89,0.2778,29.4434,0.0978,28.495,1.0244,0.4222,0.022,0.0,1.332,1.332,0.01,247,0,0,0,0
2020,57,2020-02-26,2020-03-04,Karnataka,,1199.0,,32.675,,29.6575,,28.48,,0.4274,4.286,0.0,31.264,30.898,0.73,117,0,0,,
2020,57,2020-02-26,2020-03-04,Kerala,1176.0,5473.0,1.1208,36.51,0.1901,29.6522,0.1194,28.175,0.0877,0.5228,6.885,0.0,35.829,35.829,1.06,247,0,0,0,0
2020,65,2020-03-05,2020-03-12,Karnataka,1172.0,1199.0,8.0193,33.665,1.0529,29.8322,0.1835,29.145,1.4182,0.3895,0.0,0.0,0.0,0.0,0.0,117,0,0,0,0
2020,65,2020-03-05,2020-03-12,Kerala,5154.0,5477.0,7.301,36.65,0.343,30.0819,0.0741,28.42,0.688,0.569,8.652,0.0,70.735,49.39,0.92,247,0,0,0,0
2020,73,2020-03-13,2020-03-20,Karnataka,1140.0,1185.0,7.4871,31.53,1.0933,29.9477,0.1878,28.785,1.3489,0.2185,0.401,0.0,10.524,9.773,0.12,117,0,0,0,0
