N,n_valid_draws,Brier_mean,Brier_lo,Brier_hi,ECE_mean,ECE_lo,ECE_hi
4,93,0.19256992125777145,0.0866473164753472,0.4371623538959295,0.20896789470309307,0.04418458148717783,0.4953569739365778
6,126,0.1616294987282547,0.0853214928135121,0.36761631790281235,0.17616462081664172,0.03461427890541491,0.42268351027128814
8,143,0.15131157588396918,0.08649939141946486,0.3583488957179327,0.1607960700304905,0.0338493400511268,0.3656577611757253
12,175,0.14150646267333494,0.08108633730746223,0.35241826639857765,0.1410236684763744,0.03392334611453689,0.3551443342311863
16,170,0.12594135044203056,0.07875942541862,0.2608555427123218,0.12284385901221438,0.033151736781359464,0.30016997674199053
24,189,0.12699633680411618,0.07839603174343308,0.26262189940133174,0.12382097229744053,0.029927484298652954,0.28737797357286665
32,199,0.11915741590295822,0.07853881601021788,0.2629241839708865,0.11316511631110635,0.03133810825232488,0.27173941988878564
48,200,0.10770709717831614,0.0790175923700582,0.21965065833450065,0.10182645962136005,0.032417884399181786,0.24673458736735487
64,200,0.10088265697090062,0.08005314169852988,0.16079448395436588,0.09224947759022833,0.034549105289007884,0.1799881111701417
92,200,0.09769388631293442,0.07898342801673276,0.1381453870351935,0.08959328783902379,0.03484271662776399,0.1691090947338002
